2026-05-27 18:04:43 - Agent.DepthParallax - INFO - [DepthParallax] Pre-computing depth maps...
2026-05-27 18:04:43 - Agent.DepthParallax - INFO - [DepthParallax] Computing depth maps for 71 images...
2026-05-27 18:04:44 - Agent.DepthParallax - INFO - [DepthParallax] Depth Anything V2 available via transformers
2026-05-27 18:04:44 - Agent.DepthParallax - INFO - [DepthParallax] Loading Depth Anything V2 Small (~100MB first run)...
2026-05-27 18:04:46 - Agent.DepthParallax - INFO - [DepthParallax] Depth model loaded
2026-05-27 18:04:48 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_reveal1_evidence_depth.npy
2026-05-27 18:04:49 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep2_scene7_marens_house__study_depth.npy
2026-05-27 18:04:50 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: marens_house__study_depth.npy
2026-05-27 18:04:51 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_scene3_marens_house__kitchen_depth.npy
2026-05-27 18:04:52 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_scene6_marens_house__study_depth.npy
2026-05-27 18:04:53 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_scene5_the_voss_family_home_depth.npy
2026-05-27 18:04:54 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_reveal1_location_detail_depth.npy
2026-05-27 18:04:55 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_reveal3_evidence_depth.npy
2026-05-27 18:04:56 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_reveal3_evidence_depth.npy
2026-05-27 18:04:57 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_reveal2_location_detail_depth.npy
2026-05-27 18:04:58 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_scene5_the_ravine__millbrook_trail_depth.npy
2026-05-27 18:04:58 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_reveal4_subject_depth.npy
2026-05-27 18:04:59 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_scene5_marens_house__kitchen_depth.npy
2026-05-27 18:05:00 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_reveal3_document_depth.npy
2026-05-27 18:05:01 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: the_records_office__municipal_building_depth.npy
2026-05-27 18:05:02 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_scene3_the_voss_family_home_depth.npy
2026-05-27 18:05:03 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep4_scene8_frank_oubres_house__front_porch_depth.npy
2026-05-27 18:05:05 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_scene3_the_ravine__millbrook_trail_depth.npy
